гэж	pron. as,that
хурц	adj. sharp
жигүүр	n. wing
бий болгох	v. create
хөрш	n. neighbor
угаалгын	v. wash
бат	n. bat
олон хүн	n. crowd
эрдэнэ шиш	n. corn
харьцуулах	v. compare
шүлэг	n. poem
хонх	v. bell
хамааралтай	v. depend
мах	n. meat
урэх	v. rub
хоолой	n. tube
алдартай	adj. famous
доллар	n. dollar
айдас	n. fear
нүдний хараа	n. sight
нимгэн	adj. thin
гурвалжин	n. triangle
гариг	n. planet
яарах	v. hurry
колони	n. colony
уул уурхайн	n. mine
зангиа	v. tie
оруул	v. enter
хайлт	v. search
илгээх	v. send
шар	adj. yellow
буу	n. gun
боломж олгох	v. allow
хэвлэх	v. print
нас барсан	adj. dead
спот	n. spot
цөлийн	n. desert
нэхэмжлэл	n. suit,claim
одоогийн	adj. current
өргөгч	v. lift
мастер	n. master
зам	n. track,path,road
эцэг, эх	n. parent
хэлтэс	n. division
бодис	n. substance
дараах	v. post
зарцуулах	v. spend
хөвч	n. chord
өөх	adj. fat
баяртай	adj. glad
эзлэх хувь	n. share
талх	n. bread
үнэ	n. charge,price
бар	n. bar,tiger
санал болгох	v. offer
боол	n. slave
нугас	n. duck
шуурхай	n. instant
зах зээлийн	n. market
нутагших	n. populate
дэгдээхэйн	n. chick
хайрт	n. dear
дайсан	n. enemy
хариулах	v. reply,to answer
ундаа	n. drink,beverages,soda
тохиолддог	v. occur
дэмжлэг үзүүлэх	v. support
хэл яриа	n. speech
мөн чанар	n. nature
хүрээ	n. range
уурын	n. steam
хөдөлгөөн	n. motion
шингэн	n. liquid
гуалин	n. log
коэффицентийг	n. quotient
шүд	n. teeth,tooth
бүрхүүл	n. shell
хүзүү	n. neck
хүчилтөрөгчийн	n. oxygen
элсэн чихэр	n. sugar
үхэл	n. death
нэлээн	n. pretty
ур чадвар	n. skill
эмэгтэйчүүд	n. women
улирал	n. season
үүний шийдэл	n. solution
соронз	n. magnet
мөнгөн	adj. silver
талархлын	v. thank
салбар	n. branch
хүсч байгаа эд зүйлс	n. match
дагавар	n. suffix
ялангуяа	adv. especially,particular
инжрийн	n. fig
айдаг	adj. afraid
асар их	adj. huge
эгч	n. sister
ган	n. steel
хэлэлцэх	v. discuss
урагш	prep. forward
ижил төстэй	adj. similar
чиглэх	n. guide
туршлага	n. experience
оноо	n. score
алим	n. apple
худалдан авсан	v. bought
удирдуулсан	v. led
давирхай	n. pitch
цув	n. coat,rain coat
олон нийтийн	n. mass
карт	n. card
хамтлаг	n. band
олс	n. rope
хожил	v. win
мөрөөдөж	n. dream
орой	n. evening
нөхцөл байдал	n. condition
малын тэжээл	n. feed
нийт	n. total
үнэр	n. smell
хөндий	n. valley
ч	???. nor
давхар	adj. double
суудал	n. seat
үргэлжлэх	v. continue
блок	n. block
малгай	n. hat
борлуулах	v. sell
амжилт	n. success
компани	v. company
хасах	v. subtract
үйл явдал	n. event
усанд сэлж	v. swim
эхнэр	n. wife
гутал	n. shoe,boots
мөрөн	n. shoulder, shoulder
тархах	v. spread
зохион байгуулах	v. arrange
бааз	n. camp
зохион бүтээх	v. invent
хөвөн	n. cotton
төрөлхийн	adj. born
тодорхойлох	v. determine
есөн	adj. nine
ачааны машин	n. truck
дуу чимээ	n. noise
түвшин	n. level
боломж	n. chance
цуглах	v. gather
сунгах	v. stretch
хаях	v. throw
үл хөдлөх хөрөнгийн	n. property
багана	n. column
молекул	n. molecule
буруу	adj. wrong
саарал	adj. gray
давтан	v. repeat
бэлтгэх	v. prepare
давс	n. salt
хамар	n. nose
олон тооны	adj. plural
уур хилэн	n. anger
тив	n. continent
бүр	n. everyone
сайхан	adj. nice,fine/nice
урьд	prep. before
тогтох	v. determine
өмгөр	adj. very narrow
нэгэн	art. a/an
өвгөн	n. old man
эмгэн	n. old woman
чинээ	n. size
энх	adj. peaceful
эрүүл	adj. healthy
саруул	adj. clear,lucent,serenity
амьдрах	v. to live,to live
гэх	v. to say
зовлон	n. suffering
гараа	n. starting point
муудах	v. to decay
хаяанд	prep. nearby
хөөрхий	adj. pitiful
дуудах	v. to call,to call out
хажуу	prep. edge,side
хүүхэлдэй	n. doll
сонс	interj. i say!
хэн	pron. who
битгий	???. do not
үзүүлэх	v. to show
хэрвээ	conjunc. if
чамд	pron. you
тохиолдох	v. to occur
хооллох	v. to feed
яах	adv. how
зөвлөх	v. to suggest
сэтгэл	n. spirit
ингэх	adv. in this way/manner
үнсэх	v. to kiss,to kiss
нас барах	v. to die,to die
харамсан	adv. pitifully
гашуудах	v. to grieve
нэлээд	adv. much
удсан	adj. mature, stale
авгай	n. aged woman
ууртай	adj. angry
чинь	pron. me
догшин	adj. fierce
зантай	adj. grumpy
хорон	adj. mischievous
хойт	adj. step-(family member) e.g. step-parent
хорлох	v. to hurt
хорлонтой	adj. evil
цамаан	adj. fastidious
үлдэх	v. continue,remain,to stay
хорогдох	v. crouch,dwindle,escape,linger
эцэг	n. parent,father
гандах	v. crumble,wilt,wither
галлах	v. fire (to burn?)
зуух	v. to bake, bite,stove
зөөх	v. to carry,transfer,to carry
цэвэрлэх	v. to clean,to clean
шан	n. compensation,fee
сүүдэр	n. shade
тайвшрах	v. to appease,console
уух	v. to drink,to drink
амсах	v. to sample,savor
уулга	n. yell,cry
байгаа	adj. existent
түгжих	v. to lock, fasten
дотроо	prep. inwards
пин	n. barn
саах	v. to milk
гэгч	adj. so-called
өнөөх	v. inherent
болгох	v. to convert,render
болгон	adj. every
үзэсгэлэнтэй	n. beauty, loveliness
хэлшгүй	adj. unspeakable
үлгэр	n. fable, fairytale
улам	adj. more
төрөх	v. to give birth,to be born, generate
цаана	adj. beyond,farther
хав	n. doggy
усан	adj. aquatic
цутгах	v. to cast, flood, stream
салхи	n. wind,wind/breeze
шуугих	v. jangle, fizz, clutter
намар	n. autumn,autumn
эргэ	n. precipice, steep rock or cliff
тойрох	v. to beset, circle
сүг	n. apparition, ghost
тор	n. cage, mesh, net
нэхэх	v. to weave, chase
нөгөө	adj. other
оймс	n. footgear, stockings,socks
ээрэх	v. to falter, hesitate, to spin
оноох	v. to appoint, impose, mete
тэгээд	adv. then
охид	n. girl, sister
ажиллах	v. to do, get, work,to work
ганц	adj. lone single
баллуур	n. eraser
гэрийн даалгавар	n. homework
дэвтэр	n. notebook
маш	n. very
онц	n. excellent
самбар	n. white board
сандал	n. chair
спорт заап	n. gym
сурагч ширээ	n. desk
толь бичиг	n. dictionary
үзүүрлэгч	n. sharpener
үзэг	n. pen
үсэг	n. letter
хавтас	n. cover/folder
харандаа	n. pencil
цавуу	n. glue
цагийн хуваарь	n. timetable of lesson
цэцгийн сав	n. flower pot
шалгалт	n. test
ширээ	n. table
шугам	n. ruler
эгшиг үсэг	n. vowel
хүнсний ногоо	n. vegetable
байцаа	n. cabbage
вандуй	n. peas
лууван	n. carrots
өргөст хэмх	n. cucumber
перец	n. black pepper
сонгино	n. onion
төмс	n. potato
улаан лууван	n. radish
улаан лооль	n. tomato
улаан манжин	n. beet
хулуу	n. pumpkin
чинжүү	n. green pepper
шар лууван	n. carrot
шош	n. beans
буурцаг	n. beans
шар манжин	n. turnip
амтат зүрж	n. orange
бөөрөлзгөнө	n. raspberry
бэрсүүт жүрж	n. tangerine
гадил	n. banana
гүзээлзгэнэ	n. strawberry
интоор	n. cherry
киви	n. kiwi
лийр	n. pear
нимбэг	n. lemon
нэрс	n. blueberry
тарвас	n. watermelon
тоор	n. peach
усан үзэм	n. grape
үзэм	n. raisin
хад	n. currant,госк
хан боргоцой	n. pineapple
чангаанз	n. apricot
чавга	n. plum
тариа	n. cereal
бялуу	n. cake/pie
бин	n. pancake
гамбир	n. pancake
гурил	n. flour
гоймон	n. noodles
жигнэмэг	n. biscuit/cookies
зуурсан гурил	n. dough
өрмөнцөр	n. waffle
үр тариа	n. grain
будаа	n. rice
амттан	n. spices
ёотон	n. lump suger/cube
мax	n. meat
адууны мах	n. horse meat
гахайн мах	n. pork
гахайн утсан мах	n. bacon
зайдас	n. hot dog
өндег	n. egg
тахианы мах	n. chicken
тарваганы мах	n. marmot
үхрийн мах	n. beef
хонины мах	n. mutton
хиам	n. sausage
хоол	n. meals
зууш	n. dessert/snack
оройн хоол	n. dinner
өдрийн хоол	n. lunch
өглөөний цай	n. breakfast
хээрийн хоол	n. picnic
шөл	n. soup
цагаан идээ	n. dairy products
бяслаг	n. cheese
зайрмаг	n. ice-cream
тараг	n. yogurt
хайлмаг	n. melted butter
цөцгийн тос	n. butter
цөцгий	n. cream
дарс	n. wine
жимсний шүүс	n. juice
кофе	n. coffee
цай	n. tea
шар айраг	n. beer
гал тогооны хэрэгсэл	n. kitchen utensils
аяга	n. bowl
будаа агшаагч	n. rice cooker
данх	n. kettle
дийз	n. saucer
махны машин	n. meat grinder
өндөг хагалагч	n. egg beater
сэрээ	n. fork
савх	n. chopstick
сэнжтэй аяга	n. cup
таг	n. lid/cover
таваг	n. plate
тогоо	n. potato
ус буцалгагч	n. water boiler
хайруулын таваг	n. frying pan/skillet
хутга	n. knife
холигч	n. mixer
халбага	n. spoon
хапуун сав	n. thermos
хундага	n. glass
шарагч	n. broiler
шанага	n. ladle
шүүр	n. strainer,broom
шарах шүүгээ	n. oven
агуулах	n. storage
эоорь	n. storage
алчуур	n. towel
аяганы шүүгээ	n. cupboard
буйдан	n. sofa
бие засах өрөө	n. restroom
галын өрөө	n. kitchen
гадаа жорлон	n. outhouse
граш	n. garage
зурагт	n. television/tv
дэр	n. pillow
дээвэр	n. ceiling
тааз	n. ceiling
жорлон	n. toilet
зочны өрөө	n. living room
зөөлөн сандал	n. armchair
индүү	n. iron
индүүний ширээ	n. ironing board
орны даавуу	n. sheets
оёдлын машин	n. sewing machine
паар	n. radiator
суурь	n. basement
тавилга	n. furniture
тагт	n. balcony
телефон утас	n. telephone
тоос сорогч	n. vacuum cleaner
түлхүүр	n. key
yraaryyp	n. sink
угаалгын машин	n. washing machine
угаалгын өрөө	n. bath/laundry room
унждаг чийдэн	n. light
усанд орох онгоц	n. bathtub
үүдний өрөө	n. hall
ширээний бүтээлэг	n. table cloth
ширээний чийдэн	n. lamp
шүршүүр	n. shower
хана	n. wall
ханын шүүгээ	n. closet
хашаа	n. yard
хивс	n. carpet/rug
хогийн гаргуул	n. dust pan
хоолны өрөө	n. dining room
хөгжим	n. tape recorder,music
хөнжил	n. blanket
хөргөгч	n. refrigerator/fridge
хөшиг	n. curtain
хүүхдийн өрөө	n. kid’s room
цонхны тавцан	n. window sill
шалны хулдаас	n. linoleum
яндан	n. chimney
булган малгай	n. sable hat
бүс	n. belt
бээлий	n. gloves
гутлын үдээс	n. shoe string
гэрийн шаахай	n. slippers
даашинз	n. dress
дотуур хувцас	n. briefs
дотуур цамц	n. t-shirt
жинс өмд	n. jeans
майк	n. undershirt
ноосон цамц	n. sweater
ороолт	n. scarf
өмд	n. pants/trousers
пальто	n. coat
пиджак	n. blazer
пүүз	n. sneakers/running shoes
татуурга	n. suspenders
тирко оймс	n. nylons/tights
шилэн оймс	n. nylons/tights
туфль	n. high heel shoes
тэлээ. бүс	n. belt
унтлаганы хувцас	n. night gown
урт оймс	n. stockings
усны хувцас	n. swim suit
халат	n. house dress
хантааз	n. vest
хормогч	n. apron
хослол	n. suit
хүрэм	n. jacket
эмэгтэй цамц	n. blouse
эрэгтэй цамц	n. shirt
шуба	n. fur coat
юбка	n. skirt
ax	n. brother
ач охин	n. niece
зээ охин	n. niece
ач хүү	n. nephew
зээ хүү	n. nephew
авга ах	n. uncle
нагац ах	n. uncle
бэр эгч	n. sister in law
бэр дүү	n. sister in law
нагац эгч	n. aunt
авга эгч	n. aunt
насанд хүрсэн хүн	n. adult
нөхөр	n. husband
өвөө	n. grandfather
үеэл	n. cousin
хамаатан садан	n. relatives
хүргэн ах	n. brother in law
хүргэн дүү	n. brother in law
эмэгтэй хүн	n. woman
эмэгтэй хүүхэд	n. girl
эмээ	n. grandmother
эрэгтэй хүн	n. man
эрэгтэй хүүхэд	n. boy
эцэгэх	n. parents
гаригууд	n. days of the week
даваа	n. monday
мягмар	n. tuesday
лхагва	n. wednesday
пүрэв	n. thursday
баасан	n. friday
бямба	n. saturday
ням	n. sunday
цаг хугацаа	n. time
ажлын өдөр	n. weekday
амралтын өдөр	n. weekend
дараа жил	n. next year
3 өдрийн өмнө	n. 3 days ago
заримдаа	adv. sometimes
ихэвчлэн	adv. usually
маргааш	n. tomorrow
нар жаргасан орой	n. sunset
нар мандах үе	n. sunrise
нөгөөдөр	n. day after tomorrow
нэг цаг	n. hour
